"ANOOBITO","Total_Casos","Total_NA","Porcentagem_NA","Variavel_CID","Var_Sociodemo"
2013,8851,1,0.0112981584001808,"causabas","SEXO"
2014,8433,2,0.023716352424997,"causabas","SEXO"
2015,8467,5,0.0590527931971182,"causabas","SEXO"
2016,8406,2,0.0237925291458482,"causabas","SEXO"
2017,8500,3,0.0352941176470588,"causabas","SEXO"
2018,8767,2,0.0228128208052926,"causabas","SEXO"
2019,8917,0,0,"causabas","SEXO"
2020,11794,1,0.00847888756995082,"causabas","SEXO"
2021,12233,2,0.0163492193247772,"causabas","SEXO"
2022,12263,0,0,"causabas","SEXO"
2013,8851,497,5.61518472488984,"causabas","RACACOR"
2014,8433,438,5.19388118107435,"causabas","RACACOR"
2015,8467,382,4.51163340025983,"causabas","RACACOR"
2016,8406,352,4.18748512966928,"causabas","RACACOR"
2017,8500,234,2.75294117647059,"causabas","RACACOR"
2018,8767,211,2.40675259495837,"causabas","RACACOR"
2019,8917,193,2.16440506896938,"causabas","RACACOR"
2020,11794,226,1.91622859080889,"causabas","RACACOR"
2021,12233,265,2.16627156053298,"causabas","RACACOR"
2022,12263,212,1.72877762374623,"causabas","RACACOR"
2013,8851,2064,23.3193989379731,"causabas","ESC"
2014,8433,1916,22.7202656231472,"causabas","ESC"
2015,8467,1795,21.1999527577654,"causabas","ESC"
2016,8406,1727,20.5448489174399,"causabas","ESC"
2017,8500,1559,18.3411764705882,"causabas","ESC"
2018,8767,1422,16.219915592563,"causabas","ESC"
2019,8917,1486,16.6647975776606,"causabas","ESC"
2020,11794,2017,17.1019162285908,"causabas","ESC"
2021,12233,2039,16.6680291016104,"causabas","ESC"
2022,12263,1946,15.8688738481611,"causabas","ESC"
2013,8851,1013,11.4450344593831,"causabas","ESTCIV"
2014,8433,871,10.3284714810862,"causabas","ESTCIV"
2015,8467,823,9.72008976024566,"causabas","ESTCIV"
2016,8406,875,10.4092315013086,"causabas","ESTCIV"
2017,8500,805,9.47058823529412,"causabas","ESTCIV"
2018,8767,778,8.87418729325881,"causabas","ESTCIV"
2019,8917,814,9.12863070539419,"causabas","ESTCIV"
2020,11794,1135,9.62353739189418,"causabas","ESTCIV"
2021,12233,1217,9.94849995912695,"causabas","ESTCIV"
2022,12263,1113,9.0760825246677,"causabas","ESTCIV"
2013,7474,1,0.0133797163500134,"causabaso","SEXO"
2014,7119,2,0.0280938334035679,"causabaso","SEXO"
2015,6993,5,0.0715000715000715,"causabaso","SEXO"
2016,6977,2,0.0286656155940949,"causabaso","SEXO"
2017,6844,2,0.0292226767971946,"causabaso","SEXO"
2018,7066,2,0.0283045570336824,"causabaso","SEXO"
2019,7251,0,0,"causabaso","SEXO"
2020,9736,0,0,"causabaso","SEXO"
2021,9966,1,0.0100341159943809,"causabaso","SEXO"
2022,10207,0,0,"causabaso","SEXO"
2013,7474,369,4.93711533315494,"causabaso","RACACOR"
2014,7119,347,4.87428009551903,"causabaso","RACACOR"
2015,6993,282,4.03260403260403,"causabaso","RACACOR"
2016,6977,274,3.927189336391,"causabaso","RACACOR"
2017,6844,184,2.68848626534191,"causabaso","RACACOR"
2018,7066,174,2.46249646193037,"causabaso","RACACOR"
2019,7251,150,2.06868018204386,"causabaso","RACACOR"
2020,9736,184,1.8898931799507,"causabaso","RACACOR"
2021,9966,220,2.2075055187638,"causabaso","RACACOR"
2022,10207,183,1.792887234251,"causabaso","RACACOR"
2013,7474,1671,22.3575060208724,"causabaso","ESC"
2014,7119,1582,22.2222222222222,"causabaso","ESC"
2015,6993,1419,20.2917202917203,"causabaso","ESC"
2016,6977,1411,20.2235918016339,"causabaso","ESC"
2017,6844,1232,18.0011689070719,"causabaso","ESC"
2018,7066,1140,16.133597509199,"causabaso","ESC"
2019,7251,1236,17.0459247000414,"causabaso","ESC"
2020,9736,1611,16.5468364831553,"causabaso","ESC"
2021,9966,1633,16.385711418824,"causabaso","ESC"
2022,10207,1564,15.3228176741452,"causabaso","ESC"
2013,7474,839,11.2255820176612,"causabaso","ESTCIV"
2014,7119,744,10.4509060261273,"causabaso","ESTCIV"
2015,6993,698,9.98140998140998,"causabaso","ESTCIV"
2016,6977,727,10.4199512684535,"causabaso","ESTCIV"
2017,6844,645,9.42431326709527,"causabaso","ESTCIV"
2018,7066,640,9.05745825077837,"causabaso","ESTCIV"
2019,7251,688,9.48834643497449,"causabaso","ESTCIV"
2020,9736,915,9.39811010682005,"causabaso","ESTCIV"
2021,9966,962,9.65281958659442,"causabaso","ESTCIV"
2022,10207,912,8.93504457725091,"causabaso","ESTCIV"
2013,1400,0,0,"linhaa","SEXO"
2014,1270,0,0,"linhaa","SEXO"
2015,1236,0,0,"linhaa","SEXO"
2016,1208,2,0.165562913907285,"linhaa","SEXO"
2017,1184,0,0,"linhaa","SEXO"
2018,1127,0,0,"linhaa","SEXO"
2019,1014,0,0,"linhaa","SEXO"
2020,1225,0,0,"linhaa","SEXO"
2021,1126,0,0,"linhaa","SEXO"
2022,1183,0,0,"linhaa","SEXO"
2013,1400,132,9.42857142857143,"linhaa","RACACOR"
2014,1270,69,5.43307086614173,"linhaa","RACACOR"
2015,1236,72,5.8252427184466,"linhaa","RACACOR"
2016,1208,65,5.38079470198675,"linhaa","RACACOR"
2017,1184,44,3.71621621621622,"linhaa","RACACOR"
2018,1127,33,2.92812777284827,"linhaa","RACACOR"
2019,1014,28,2.76134122287968,"linhaa","RACACOR"
2020,1225,33,2.69387755102041,"linhaa","RACACOR"
2021,1126,26,2.30905861456483,"linhaa","RACACOR"
2022,1183,30,2.53592561284869,"linhaa","RACACOR"
2013,1400,370,26.4285714285714,"linhaa","ESC"
2014,1270,286,22.5196850393701,"linhaa","ESC"
2015,1236,251,20.3074433656958,"linhaa","ESC"
2016,1208,245,20.2814569536424,"linhaa","ESC"
2017,1184,234,19.7635135135135,"linhaa","ESC"
2018,1127,179,15.8828748890861,"linhaa","ESC"
2019,1014,164,16.1735700197239,"linhaa","ESC"
2020,1225,213,17.3877551020408,"linhaa","ESC"
2021,1126,170,15.0976909413854,"linhaa","ESC"
2022,1183,214,18.0896027049873,"linhaa","ESC"
2013,1400,200,14.2857142857143,"linhaa","ESTCIV"
2014,1270,152,11.9685039370079,"linhaa","ESTCIV"
2015,1236,127,10.2750809061489,"linhaa","ESTCIV"
2016,1208,137,11.341059602649,"linhaa","ESTCIV"
2017,1184,118,9.96621621621622,"linhaa","ESTCIV"
2018,1127,107,9.49423247559893,"linhaa","ESTCIV"
2019,1014,88,8.67850098619329,"linhaa","ESTCIV"
2020,1225,128,10.4489795918367,"linhaa","ESTCIV"
2021,1126,111,9.85790408525755,"linhaa","ESTCIV"
2022,1183,114,9.63651732882502,"linhaa","ESTCIV"
2013,4226,0,0,"linhab","SEXO"
2014,3932,2,0.0508646998982706,"linhab","SEXO"
2015,4033,1,0.0247954376394743,"linhab","SEXO"
2016,4003,0,0,"linhab","SEXO"
2017,4048,1,0.024703557312253,"linhab","SEXO"
2018,4172,0,0,"linhab","SEXO"
2019,4155,0,0,"linhab","SEXO"
2020,4678,0,0,"linhab","SEXO"
2021,4767,3,0.0629326620516048,"linhab","SEXO"
2022,4713,0,0,"linhab","SEXO"
2013,4226,208,4.9219119734974,"linhab","RACACOR"
2014,3932,242,6.15462868769074,"linhab","RACACOR"
2015,4033,183,4.5375650880238,"linhab","RACACOR"
2016,4003,156,3.89707719210592,"linhab","RACACOR"
2017,4048,133,3.28557312252964,"linhab","RACACOR"
2018,4172,99,2.37296260786194,"linhab","RACACOR"
2019,4155,107,2.57521058965102,"linhab","RACACOR"
2020,4678,95,2.03078238563489,"linhab","RACACOR"
2021,4767,109,2.28655338787497,"linhab","RACACOR"
2022,4713,81,1.71865054105665,"linhab","RACACOR"
2013,4226,916,21.6753431140558,"linhab","ESC"
2014,3932,907,23.0671414038657,"linhab","ESC"
2015,4033,797,19.761963798661,"linhab","ESC"
2016,4003,753,18.8108918311267,"linhab","ESC"
2017,4048,678,16.7490118577075,"linhab","ESC"
2018,4172,621,14.8849472674976,"linhab","ESC"
2019,4155,612,14.7292418772563,"linhab","ESC"
2020,4678,753,16.0966224882428,"linhab","ESC"
2021,4767,779,16.3415145794,"linhab","ESC"
2022,4713,699,14.8313176320815,"linhab","ESC"
2013,4226,433,10.2460955986749,"linhab","ESTCIV"
2014,3932,429,10.910478128179,"linhab","ESTCIV"
2015,4033,406,10.0669476816266,"linhab","ESTCIV"
2016,4003,377,9.41793654758931,"linhab","ESTCIV"
2017,4048,318,7.85573122529644,"linhab","ESTCIV"
2018,4172,354,8.48513902205177,"linhab","ESTCIV"
2019,4155,340,8.18291215403129,"linhab","ESTCIV"
2020,4678,430,9.19196237708422,"linhab","ESTCIV"
2021,4767,430,9.02034822739668,"linhab","ESTCIV"
2022,4713,411,8.72056015276894,"linhab","ESTCIV"
2013,4226,0,0,"linhab","SEXO"
2014,3932,2,0.0508646998982706,"linhab","SEXO"
2015,4033,1,0.0247954376394743,"linhab","SEXO"
2016,4003,0,0,"linhab","SEXO"
2017,4048,1,0.024703557312253,"linhab","SEXO"
2018,4172,0,0,"linhab","SEXO"
2019,4155,0,0,"linhab","SEXO"
2020,4678,0,0,"linhab","SEXO"
2021,4767,3,0.0629326620516048,"linhab","SEXO"
2022,4713,0,0,"linhab","SEXO"
2013,4226,208,4.9219119734974,"linhab","RACACOR"
2014,3932,242,6.15462868769074,"linhab","RACACOR"
2015,4033,183,4.5375650880238,"linhab","RACACOR"
2016,4003,156,3.89707719210592,"linhab","RACACOR"
2017,4048,133,3.28557312252964,"linhab","RACACOR"
2018,4172,99,2.37296260786194,"linhab","RACACOR"
2019,4155,107,2.57521058965102,"linhab","RACACOR"
2020,4678,95,2.03078238563489,"linhab","RACACOR"
2021,4767,109,2.28655338787497,"linhab","RACACOR"
