"ANOOBITO","Total_Casos","Total_NA","Porcentagem_NA","Variavel_CID","Var_Sociodemo"
2013,255,0,0,"causabas","SEXO"
2014,237,0,0,"causabas","SEXO"
2015,217,0,0,"causabas","SEXO"
2016,226,0,0,"causabas","SEXO"
2017,211,0,0,"causabas","SEXO"
2018,175,0,0,"causabas","SEXO"
2019,156,0,0,"causabas","SEXO"
2020,229,0,0,"causabas","SEXO"
2021,376,0,0,"causabas","SEXO"
2022,315,0,0,"causabas","SEXO"
2013,255,14,5.49019607843137,"causabas","RACACOR"
2014,237,33,13.9240506329114,"causabas","RACACOR"
2015,217,27,12.4423963133641,"causabas","RACACOR"
2016,226,19,8.4070796460177,"causabas","RACACOR"
2017,211,23,10.9004739336493,"causabas","RACACOR"
2018,175,13,7.42857142857143,"causabas","RACACOR"
2019,156,10,6.41025641025641,"causabas","RACACOR"
2020,229,16,6.98689956331878,"causabas","RACACOR"
2021,376,22,5.85106382978723,"causabas","RACACOR"
2022,315,23,7.3015873015873,"causabas","RACACOR"
2013,255,48,18.8235294117647,"causabas","ESC"
2014,237,67,28.2700421940928,"causabas","ESC"
2015,217,60,27.6497695852535,"causabas","ESC"
2016,226,59,26.1061946902655,"causabas","ESC"
2017,211,62,29.3838862559242,"causabas","ESC"
2018,175,47,26.8571428571429,"causabas","ESC"
2019,156,37,23.7179487179487,"causabas","ESC"
2020,229,57,24.8908296943231,"causabas","ESC"
2021,376,77,20.4787234042553,"causabas","ESC"
2022,315,62,19.6825396825397,"causabas","ESC"
2013,255,21,8.23529411764706,"causabas","ESTCIV"
2014,237,40,16.8776371308017,"causabas","ESTCIV"
2015,217,44,20.2764976958525,"causabas","ESTCIV"
2016,226,27,11.9469026548673,"causabas","ESTCIV"
2017,211,35,16.5876777251185,"causabas","ESTCIV"
2018,175,30,17.1428571428571,"causabas","ESTCIV"
2019,156,28,17.9487179487179,"causabas","ESTCIV"
2020,229,31,13.5371179039301,"causabas","ESTCIV"
2021,376,52,13.8297872340426,"causabas","ESTCIV"
2022,315,45,14.2857142857143,"causabas","ESTCIV"
2013,231,0,0,"causabaso","SEXO"
2014,218,0,0,"causabaso","SEXO"
2015,208,0,0,"causabaso","SEXO"
2016,213,0,0,"causabaso","SEXO"
2017,195,0,0,"causabaso","SEXO"
